city,state,2014_murders,2015_murders,change,population,murder_rate_2014,murder_rate_2015
Bakersfield,California,17,22,5,347483,4.89232566773051,6.33124498176889
Colorado Springs,Colorado,20,25,5,478961,4.17570532882636,5.21963166103294
Las Vegas,Nevada,122,127,5,583756,20.8991427925366,21.7556650381324
Oakland,California,80,85,5,440646,18.1551631014465,19.2898607952869
San Diego,California,32,37,5,1306300,2.44966699839241,2.83242746689122
St. Paul,Minnesota,11,16,5,294000,3.74149659863946,5.4421768707483
Anaheim,California,14,18,4,336265,4.16338304610947,5.3529210592836
Greensboro,North Carolina,23,26,3,258671,8.89160362004245,10.0513780052654
Jersey City,New Jersey,24,27,3,292449,8.20655909235457,9.23237897889888
Mesa,Arizona,13,16,3,439041,2.96099908664567,3.64430656817928
Fort Worth,Texas,54,56,2,918915,5.87649564976086,6.09414363678904
Virginia Beach,Virginia,17,19,2,459470,3.69991511959432,4.13519925131129
Irvine,California,0,2,2,287401,0,0.69589180274251
Atlanta,Georgia,93,94,1,498715,18.6479251676809,18.8484404920646
Henderson,Nevada,3,4,1,320189,0.936946615904981,1.24926215453998
Jacksonville,Florida,96,97,1,911528,10.5317664405262,10.6414723409484
Raleigh,North Carolina,16,17,1,467665,3.42125239220382,3.63508066671656
Wichita,Kansas,26,27,1,389938,6.66772666423893,6.92417768978658
Chandler,Arizona,1,1,0,275987,0.36233590712606,0.36233590712606
Plano,Texas,4,4,0,285494,1.40108023285953,1.40108023285953
Stockton,California,49,49,0,291707,16.797677121221,16.797677121221
Toledo,Ohio,24,24,0,270871,8.86030619741501,8.86030619741501
Chula Vista,California,7,6,-1,275487,2.54095474559598,2.17796121051084
Phoenix,Arizona,114,112,-2,1608139,7.08893945112954,6.96457209233779
Riverside,California,12,10,-2,303871,3.94904416676813,3.29087013897345
San Jose,California,32,30,-2,1035317,3.0908407763033,2.89766322778434
Detroit,Michigan,298,295,-3,690074,43.1837744937499,42.7490385089135
Seattle,Washington,26,23,-3,713211,3.64548499672607,3.22485211248845
El Paso,Texas,21,17,-4,678815,3.0936263930526,2.50436422294734
Tucson,Arizona,35,31,-4,520116,6.72926808634997,5.9602088764814
Arlington,Texas,13,8,-5,394266,3.29726631259099,2.02908696159446
Lexington,Kentucky,20,15,-5,394266,5.07271740398614,3.80453805298961
Memphis,Tennessee,140,135,-5,633104,22.1132704895246,21.3235108291845
St. Petersburg,Florida,19,14,-5,265358,7.16013837909541,5.2758914372282
Columbus,Ohio,83,77,-6,902073,9.20102918499944,8.53589454511996
Honolulu,Hawaii,21,15,-6,343302,6.11706311061398,4.3693307932957
Laredo,Texas,14,8,-6,255205,5.48578593679591,3.13473482102623
Lincoln,Nebraska,7,1,-6,258379,2.70919850297431,0.387028357567759
Miami,Florida,81,75,-6,467963,17.3090607590771,16.0269081102566
Santa Ana,California,18,12,-6,334227,5.38556131012755,3.5903742067517
Mobile,Alabama,31,24,-7,188720,16.4264518863925,12.7172530733362
Fresno,California,47,39,-8,542107,8.66987513535151,7.19415170805763
Austin,Texas,32,23,-9,961855,3.32690478294545,2.39121281274204
San Antonio,Texas,103,94,-9,1434625,7.17957654439313,6.55223490459179
Corpus Christi,Texas,27,17,-10,317863,8.49422549966495,5.3482160553446
Pittsburgh,Pennsylvania,69,57,-12,302971,22.7744569612273,18.8136818375356
Boston,Massachusetts,53,38,-15,675647,7.84433291348885,5.62423869269012
Buffalo,New York,60,41,-19,278349,21.5556729142192,14.7297098247165
